,points,title,description,price,variety,region_1,region_2,province,country,winery
2676,83,François Lurton 2013 Hacienda Araucano Cabernet Sauvignon (Colchagua Valley),"Earthy, leathery berry and mushroom aromas don't stir much interest. This feels tannic and heavy, while flavors of baked berry fruits and caramel finish hot and rugged.",11.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,François Lurton
2677,83,Chilcas 2013 Reserva Chardonnay (Colchagua Valley),"Blatant aromas of popcorn don't allow for much fruit expression on the nose. This is heavy and lacking in vitality. Flavors of toast, burnt wood, barrel resin and tropical fruits finish soft.",12.0,Chardonnay,,,Colchagua Valley,Chile,Chilcas
2679,83,Quintay 2014 Q Grand Reserve Pinot Noir (Casablanca Valley),"Red-berry aromas are damp, mulchy and not fully fresh. On the palate, this wine feels sticky, while flavors of briny, herbal red-berry fruits turn salty on the finish.",20.0,Pinot Noir,,,Casablanca Valley,Chile,Quintay
2682,83,Tricky Rabbit 2015 Reserva Estate Bottled Sauvignon Blanc (Maule Valley),"There's nothing too tricky about this dilute, mealy smelling Sauvignon Blanc that's blended with 10% Carmenère for a reason we can't explain. With drawing white-grape tannins, this tastes green and citrusy, with a scallion note to the finish.",12.0,Sauvignon Blanc,,,Maule Valley,Chile,Tricky Rabbit
2684,83,Falernia 2014 Reserva Pedro Ximénez (Elqui Valley),"Aromas of orange and tangerine are oily on the nose. Melon, papaya and almond-skin flavors end with creamy lees notes that give way to bitterness on a dilute finish.",9.0,Pedro Ximénez,,,Elqui Valley,Chile,Falernia
2685,83,Chono 2015 Single Vineyard Sauvignon Blanc (Leyda Valley),"This opens like an exploding hand grenade filled with pyrazines and jalapeño extract. The narrow, acidic palate is lacking in depth, but at least it's fresh. Briny, green flavors of jalapeño and bell peppers never let go, while the finish is tart and green, with a lasting note of bell pepper.",13.0,Sauvignon Blanc,,,Leyda Valley,Chile,Chono
2916,86,Calcu 2012 Reserva Carmenère (Colchagua Valley),"Plum and berry aromas come with a floral accent. This feels raw and a touch abrasive, with woody, saucy flavors of berry fruits and plum. The oaky, heavily spiced finish brings a grippy tannic feel.",14.0,Carmenère,,,Colchagua Valley,Chile,Calcu
2922,86,Santa Ema 2014 Select Terroir Merlot (Cachapoal Valley),"Tarry black-cherry aromas are a bit damp, oaky and scratchy, but overall this opens well. A solid, firm, edgy palate offers flavors of herbal blackberry and baked black plum, while the finish is meaty and a touch salty.",10.0,Merlot,,,Cachapoal Valley,Chile,Santa Ema
3204,86,Santa Luz 2015 Gran Reserva Corte Cabernet Sauvignon (Colchagua Valley),"Grapy berry and raisin aromas include notes of baking spices. This feels wide but wiry, with tartaric acidity at the core. Generic berry flavors end with a dry drawing finish.",12.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Santa Luz
3210,86,Finca Patagonia 2015 Expedicion Syrah (Maule Valley),"Bright but basic plum, spice and leather aromas are uncomplicated. This feels grabby and rugged, with chewy tannins. Leafy red-fruit flavors offer a jammy side note, while this finishes with dry, scouring tannins.",12.0,Syrah,,,Maule Valley,Chile,Finca Patagonia
3213,86,Montes 2016 Classic Series Sauvignon Blanc (Aconcagua Costa),"Cool-climate pyrazinic aromas are punchy and feline. This feels good but weaker and more dilute than in most years. Briny, pickled citrus flavors follow the nose, while this ends lean and green but solid enough.",13.0,Sauvignon Blanc,,,Aconcagua Costa,Chile,Montes
3214,86,Santa Rita 2015 120 Sauvignon Blanc (Colchagua Valley),"Grassy, slightly green aromas are fresh and suggest cactus pad. This is easy on the palate, with flavors of citrus fruits and green herbs, such as tarragon and rosemary. A crisp finish is just solid enough to maintain integrity.",8.0,Sauvignon Blanc,,,Colchagua Valley,Chile,Santa Rita
3227,86,Oveja Negra 2012 Single Vineyard Carmenère (Maule Valley),"Spiced plum, vanilla and sandalwood aromas add up to something nice. This feels good enough, with nothing demanding about the palate. Spicy berry and olive flavors are typical of the variety, while this feels dry and tastes a bit woody on the finish.",11.0,Carmenère,,,Maule Valley,Chile,Oveja Negra
3228,86,Pura 8 2013 Reserve Chardonnay (Rapel Valley),"Lanolin and squash aromas indicate that this is fading. The palate is wide and fleshy but lacking in a focal point. Flavors of spiced pumpkin and aged apple are a bit like holiday pie, while modest acidity on the finish ensures that this is bland on the exit.",16.0,Chardonnay,,,Rapel Valley,Chile,Pura 8
3364,87,Carmen 2014 Gran Reserva Los Quillayes Vineyard Cabernet Sauvignon (Maipo Valley),"Heavy oak on the nose means aromas of pencil lead, wet cement and blacktop are in the lead. This wine feels resiny and tannic, with a similar woody flavor accenting herbal black fruit. Although this is a good Cabernet, it's quite oaky.",19.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Carmen
3381,88,Polkura 2008 Malbec (Colchagua Valley),"Very sweet and lush on the nose, and teetering on overripe due to prune and raisin aromas. The palate, meanwhile, is more narrow than you might expect, with big tannins and extract. Tastes of black plum, blackberry and herbal notes. A ripe, loud wine that's a little clumsy but definitely big and fruity. 200 cases made.",23.0,Malbec,,,Colchagua Valley,Chile,Polkura
3392,90,Montes 2008 Limited Selection Leyda Vineyard Sauvignon Blanc (Leyda Valley),"Smells like an ocean breeze mixed with field greens, citrus and passion fruit. Montes has been a leader in Chile's movement toward coastal SB, and this one is blasting with grapefruit, green apple, passion fruit and minerality. In the mouth, it has some weight and richness; but that's balanced by zippy acidity. Can't imagine a better match for ceviche or tuna tartare.",16.0,Sauvignon Blanc,,,Leyda Valley,Chile,Montes
3393,90,Odfjell 2004 Orzada Cabernet Franc (Maule Valley),"Dark as night, with aromas of brick dust, kirsch and black fruit. Don't expect anything like French Cab Franc from this Chilean monster. It's huge and fully directed toward blackberry and cassis. Which means the herbal, leafy, tobacco notes common to CF are simply not present here. But if you like yours big and burly, with crusty dark fruit, then this is your ticket.",20.0,Cabernet Franc,,,Maule Valley,Chile,Odfjell
3394,90,Errazuriz 2005 Don Maximiano Founder's Reserva Red (Aconcagua Valley),"The best Don Max in quite some time. After too many herbal-green vintages, the 2005 is ripe, rich and well woven. The bouquet shows hickory, roasted plum, chocolate, vanilla and peanut. The palate, meanwhile, is all about pure cassis, blackberry, mocha and spice. Finishes with a dash of caramel and earthy fruit leftovers. Honest, rugged and ready, but ageable for at least another 3–4 years.",65.0,Red Blend,,,Aconcagua Valley,Chile,Errazuriz
3399,90,Concha y Toro 2006 Marques de Casa Concha Cabernet Sauvignon (Puente Alto),"At over $20 the brand's Best Buy days are behind it, but this Cabernet still unfolds in serious but elegant form. The nose is dusty and dark, with cassis and blackberry aromas. Meanwhile, the feel is juicy and fresh, and the palate is just sizable enough. Flavors of cassis, chocolate and coconut are modern and friendly, while the finish of cocoa, mocha and marmalade is exciting.",21.0,Cabernet Sauvignon,,,Puente Alto,Chile,Concha y Toro
3408,90,Santa Rita 2006 Medalla Real Special Reserve Cabernet Sauvignon (Maipo Valley),"Few $20 Cabs from anywhere are going to deliver like Medalla Real does. From first impressions, which include aromas of toast, coffee, prune and devilish berry, you know it's a good one. The feel is generous and the balance spot on, so the plum, berry, coffee and chocolate flavors have structure and support. A complete wine with length, mint and lavish tannins.",20.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Rita
3429,89,Santa Ema 2012 Amplus Old Vine Carignan (Maule Valley),"Rich, chocolaty, toasty aromas of lactic oak and vanilla match red-fruit scents of raspberry and strawberry. This is lively on the palate, with an acidic pulse. Flavors of raw oak, creamy vanilla, plum and boysenberry finish overtly woody, with a lasting flavor of oak grain. Drink through 2018.",24.0,Carignan,,,Maule Valley,Chile,Santa Ema
3473,90,Cousiño-Macul 2006 Lota Cabernet Sauvignon (Maipo Valley),"Displays a lot of Macul-driven eucalyptus on the nose, but also leather, licorice and herb aromas. The color is dark, and the structure and tannins are both firm. Tastes of powerful cassis and blackberry and shows concentration. Finishes thick, smooth and a touch syrupy. Drink now through 2014.",85.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Cousiño-Macul
3501,90,Caliboro Estate 2006 Erasmo Red (Maule Valley),"A little lean and fiery from nose to tail, but amid all the heavyweights coming from Chile that might be a good thing. The palate is tight, acidic and fresh, with an Old World mouthfeel and flavors of dried berry, earth, tobacco and spice. Snappy and crisp on the finish, with a final wave of propelling acidity. Drink now through 2014.",30.0,Bordeaux-style Red Blend,,,Maule Valley,Chile,Caliboro Estate
3502,86,Miguel Torres 2012 Santa Digna Cabernet Sauvignon (Central Valley),"Solid but flat aromas of olive and leafy berry fruits introduce a midland palate of moderate bounce and average body. Raspberry, plum, currant and herbal flavors finish fresh, but also woody and slightly bitter in taste.",12.0,Cabernet Sauvignon,,,Central Valley,Chile,Miguel Torres
3510,86,Discreto 2012 Gran Reserva Red (Sagrada Familia),"Spicy, dry aromas of tobacco, campfire, herbs and berry fruits lead to a raw, oaky palate of plum, cassis and woody, lemony flavors. A middle-of-the-road finish with heat tastes like what came before it. The blend is 85% Cabernet Sauvignon with Cab Franc and Petit Verdot.",14.0,Red Blend,,,Sagrada Familia,Chile,Discreto
3523,86,Santa Alicia 2013 Gran Reserva Merlot (Maipo Valley),"This Merlot gets going with scratchy berry and plum aromas that come alongside roasted overtones. Choppy and tannic on the palate, this is short on flavors, with baked, loamy berry notes leading to a lightly herbal, briny tasting finish.",15.0,Merlot,,,Maipo Valley,Chile,Santa Alicia
3531,86,François Lurton 2013 Humo Blanco Gran Cuvée Pinot Noir (Lolol Valley),"Humo Blanco means “white smoke,” and the name applies to the daily morning fog that spreads over the Lolol area where this comes from. Leathery, earthy aromas of cherry and plum are ripe, while the palate is tannic and rubbery. Earthy cherry and plum flavors finish lasting and potent.",25.0,Pinot Noir,,,Lolol Valley,Chile,François Lurton
3619,87,Veramonte 2012 Ritual Sauvignon Blanc (Casablanca Valley),"With yeasty aromas of Animal Crackers, vanilla and pear, this is more warm, soft and sweet than in the past. The year's warm characteristics are draped all over the palate, which is soft and wide. Flavors of creamy white fruits and vanilla finish with lychee and grapefruit. This lacks some spine and vivacity but will be good through the end of the year.",20.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Veramonte
3620,87,Viña Santa Cruz 2007 Chamán Gran Reserva Malbec (Colchagua Valley),"This earthy, concentrated Malbec is dense on the nose, with herbal flavors of blackberry, spice and heat. A toasty finish carries a choppy feel and fresh acidity, while the finish tastes toasty but doesn't rise up or improve. Overall, this is perfectly good but not complex. Drink now.",25.0,Malbec,,,Colchagua Valley,Chile,Viña Santa Cruz
3632,87,Emiliana 2011 Novas Gran Reserva Made with Organically Grown Grapes Pinot Noir (Casablanca Valley),"Rubbery red-berry aromas blend with spicy field scents to create a true Pinot nose that's a bit strained. This is intense, chunky and slightly herbal, with red-fruit flavors, spice notes and some heat and oak on the finish.",16.0,Pinot Noir,,,Casablanca Valley,Chile,Emiliana
3638,87,La Playa 2011 Axel Syrah (Limarí Valley),"This Syrah begins with subtle, mellow aromas of herbs and black fruits. A plump, round, chunky palate carries flavors of lemony oak, loam, pepper and soft blackberry. This is solid but regular on the finish, where herbal flavors are slightly toasted and show some heat.",17.0,Syrah,,,Limarí Valley,Chile,La Playa
3932,86,Chilcas 2013 Single Vineyard Cabernet Sauvignon (Colchagua Valley),"Concentrated aromas of licorice, mocha and generic black fruits are low on elegance. This is grabby and strong, with herbal plum and cassis flavors that finish chunkily and deep, with good texture. Expect a saucy, herbal aftertaste.",19.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Chilcas
3942,86,Santa Alicia 2013 Gran Reserva de Los Andes Cabernet Sauvignon (Maipo Valley),"Gritty, leathery aromas register as less than fully ripe. In the mouth, this Cabernet is a touch biting. Limited cherry and plum flavors come with burnt, herbal notes, while an earthy finish tastes of salt and chocolate.",15.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
3944,86,Luis Felipe Edwards 2013 Marea Pinot Noir (Leyda Valley),"Leafy, scratchy aromas of dried plum and raspberry give way to lemony, grainy oak scents. This is medium bodied, tightly wound and tastes of dried red fruits mixed with cocoa powder. A spicy, dry, crisp finish reinforces the wine's limitations.",25.0,Pinot Noir,,,Leyda Valley,Chile,Luis Felipe Edwards
3951,86,Concha y Toro 2013 Casillero del Diablo Reserva Carmenère (Central Valley),"Black cherry, blackberry, olive and gritty oak aromas feed into a scratchy palate with forceful acidity. Oaky, blackened flavors of medicinal berry fruits finish with notes of mint and carob. Overall, this is solid but typically herbal and saucy.",11.0,Carmenère,,,Central Valley,Chile,Concha y Toro
3953,86,Viña Casablanca 2014 Cefiro Reserva Cabernet Sauvignon (Casablanca Valley),"Aromas of olive, green herbs, mixed spices and black plum set up a full, grabby palate. Flavors of generic black fruits, bitter herbs and eucalyptus finish minty and leafy, with weight and cushion.",12.0,Cabernet Sauvignon,,,Casablanca Valley,Chile,Viña Casablanca
3954,86,Luma Chequén 2013 Reserva Estate Bottled Carmenère (Maule Valley),"Earthy berry, olive and latex aromas are sleepy and chunky. In the mouth, however, this is more grating and alive. Flavors of earthy, salty plum and raspberry finish similarly, with bold acidity, liveliness and a salty after­taste.",15.0,Carmenère,,,Maule Valley,Chile,Luma Chequén
3964,87,Undurraga 2016 Sibaris Gran Reserva Sauvignon Blanc (Leyda Valley),"This light-colored, almost clear, SB opens with pungent, fairly sharp aromas of sea brine and sweaty citrus fruits. In the mouth, this is tight, edgy and pointy due to blazing acidity. Citrus, bell pepper and green-herb flavors finish peppery and with scouring acidity.",15.0,Sauvignon Blanc,,,Leyda Valley,Chile,Undurraga
3974,87,Montes 2015 Limited Selection Cabernet Sauvignon-Carmenère (Colchagua Costa),"Rubbery black-fruit aromas are heavily oaked, so much so that this Cabernet-Carmenère blend smells charred but also like plastic. A big grabby palate is jagged in feel, while this tastes like the nose suggests, meaning oaky, herbal and like berry fruits and plum. A woody finish is short on total integration.",16.0,Cabernet Sauvignon-Carmenère,,,Colchagua Costa,Chile,Montes
3975,87,Montes 2015 Limited Selection Pinot Noir (Aconcagua Costa),"Dusty raspberry and plum aromas show a note of Band-Aid. This feels creamy and full, with black cherry, chocolate and oak flavors. An oaky essence carries onto the finish, which is chunky and lasting.",16.0,Pinot Noir,,,Aconcagua Costa,Chile,Montes
3985,87,Viña Marty 2013 Ilaia Carmenère (Maule Valley),"Solid berry aromas don't go crazy with the oak, spice or herbal components. A chunky pulpy palate is a bit soft, while peppery herbal animal notes comfortably work their way into core blackberry flavors. Flavors of herbal fruits and cured meats lend quality to the finish.",11.0,Carmenère,,,Maule Valley,Chile,Viña Marty
3994,92,Concha y Toro 2003 Carmín de Peumo Carmenère (Peumo),"Setting a new high bar for Carmenère is this luxury version from Concha y Toro's Cachapoal vineyard. And while it deserves to be drunk sooner than later, we recommend it for the best steak you grill this year. It's a strapped, juicy wine with tons of coffee, chocolate and berry essence. It's too hard or layered, so get at it soon for its up-front fruit and character.",74.0,Carmenère,,,Peumo,Chile,Concha y Toro
3995,92,Concha y Toro 2004 Don Melchor Cabernet Sauvignon (Puente Alto),"In recent years, with winemaker Enrique Tirado firmly at the helm, Don Melchor has gotten better and better. And while 2004 was an average year in Chile, this ranks as the best Melchor we've sampled. The wine has beautiful blackberry, cola and pepper aromas in front of cassis, cherry, plum, nutmeg and cinnamon flavors. It's brawny but balanced, with excellent natural acidity. Best from 2008–2012.",50.0,Cabernet Sauvignon,,,Puente Alto,Chile,Concha y Toro
3996,92,Viu Manent 2005 Single Vineyard San Carlos Estate Malbec (Colchagua Valley),"This score for a $22 Chilean Malbec may cause you to do a double-take, but this is really a great wine. The nose is chock full of berry aromas with earth and leather riding shotgun. Flavors and finishing notes of chocolate truffles, espresso, berry syrup and mocha sum it up. The structure is here, as is the core acidity. This wine has everything. Imported by Atlanta Improvement Co.",22.0,Malbec,,,Colchagua Valley,Chile,Viu Manent
4012,86,Casa Silva 2011 Angostura Gran Reserva Chardonnay (Colchagua Valley),"This wine smells subtly of hickory and resin but is otherwise neutral on the nose. It feels creamy, smooth and woody, with oak leading the flavor profile, with other notes of melon and honey. This is a plump, oaky, honeyed style of Chardonnay.",14.0,Chardonnay,,,Colchagua Valley,Chile,Casa Silva
4021,86,William Cole 2011 Columbine Special Reserve Sauvignon Blanc (Casablanca Valley),"Cool and green smelling, with briny notes and whiffs of green pepper and sea foam, this shows intensity, while the flavors veer toward lime, passion fruit and green herb. It's nervy and tasty on the finish.",16.0,Sauvignon Blanc,,,Casablanca Valley,Chile,William Cole
4023,86,Montes 2010 Alpha Chardonnay (Casablanca Valley),"On the nose, there are cider, oak and baked corn notes. The palate is full of oak and resin flavors that prevent the fruit from emerging immediately. It tastes of hickory, apple and melon on the palate and finish.",22.0,Chardonnay,,,Casablanca Valley,Chile,Montes
4025,86,oops 2011 Chardonnay (Central Valley),"Although it's not very aromatic, the nose on this wine is easygoing, with mild peach and apple aromas. It feels fresh and medium bodied, with apple, peach and melony flavors, the latter perhaps due to the blend's 14% white Carmenère. It shows mellow oak notes and latent acidity on the finish.",10.0,Chardonnay,,,Central Valley,Chile,oops
4068,92,Undurraga 2013 Vigno Old Vines Dry-Farmed Red (Maule Valley),"Piercing black cherry and cassis aromas are a touch rustic and massive, but hey, that's old-vines Carignan from Maule (this one also contains 12% Cinsault). So saturated that it's beastly on the palate, this tastes of hard-rolling blackberry and black plum. Plenty of gritty spice, tomato and integrated oak fill out the menu. Drink through 2025.",35.0,Red Blend,,,Maule Valley,Chile,Undurraga
4156,83,Calcu 2009 Malbec (Colchagua Valley),"A funky nose of wet dog and medicinal cherry is no place you want to begin. The palate is high in acidity and scratchy, with tart plum, berry and cheek-starching tannins. Tastes reasonably good but fails in the bouquet and mouthfeel departments.",12.0,Malbec,,,Colchagua Valley,Chile,Calcu
4158,83,Cantora 2009 Carmenère (Colchagua Valley),"The nose is herbal and drawn but offers varietally correct cherry, berry and spice aromas. The wine runs ultracrisp and sheering in the mouth, with tart redfruit and herbal flavors of olive and mint. Seems more sharp and acidic than ideal.",10.0,Carmenère,,,Colchagua Valley,Chile,Cantora
4162,83,Chilensis 2009 Reserva Chardonnay (Maule Valley),"Tropical notes on the nose are as good as it gets; otherwise it smells like air freshener. In the mouth, it's waxy and flat, with bland apple and vanilla flavors. Finishes pithy.",12.0,Chardonnay,,,Maule Valley,Chile,Chilensis
4167,82,Chilcas 2009 Single Vineyard Chardonnay (Casablanca Valley),"Generic and monotone on the nose. The palate is nothing more than wet and chunky, while the flavors are soft, sweet and candied, with vanilla and toffee overriding any fruit. A creamy dullard with a lot of vanilla and hardly any pulse.",18.0,Chardonnay,,,Casablanca Valley,Chile,Chilcas
4168,82,Viu Manent 2010 Secreto de Viu Manent Viognier (Colchagua Valley),"Barely noticeable lime and orange aromas sit mute on the nose, which is reduced and artificial smelling. The palate has a hard feel and generic flavors of white fruits. Amid sweetness there's a chemical bitterness. Not one of this winery's better products.",14.0,Viognier,,,Colchagua Valley,Chile,Viu Manent
4170,82,Miguel Torres 2009 Cordillera Reserva Privada Barrel Fermented Chardonnay-Viognier (Chile),"Big and gold, with aromas of corn, sweat and vegetal white fruits. This is soft, dull and rich stuff, with an oaky, dry palate of apricot and papaya. Seems over the hill already and it's not yet two years old. 88% Chard and 12% Viognier.",17.0,Chardonnay-Viognier,,,Chile,Chile,Miguel Torres
4455,93,Maquis 2010 Viola Red (Colchagua Valley),"This Carmenère-led blend opens with composed aromas of cherry, cassis and chocolate along with herbs and spice. The palate feels crisp and intense, with firm tannins and elegance. Roasted black-fruit flavors are peppery and chocolaty, while licorice and baking spice flavors grace a long finish. Contains 15% Cabernet Franc. Drink through 2022.",55.0,Red Blend,,,Colchagua Valley,Chile,Maquis
4482,88,Cono Sur 2014 Organic Pinot Noir (Colchagua Valley),"Dry, spicy, earthy red-fruit aromas lead to a fresh palate with good body. Plum and spiced cherry flavors extend only so far, while this tasty little wine finishes dry, spicy and with a dusting of cocoa.",14.0,Pinot Noir,,,Colchagua Valley,Chile,Cono Sur
4514,84,Santa Alicia 2013 Reserva Espiritu de Los Andes Estate Bottled Cabernet Sauvignon (Maipo Valley),"Mint and oak aromas mingle with berry tones on the nose. Upon entrance the wine feels flabby, however after a few seconds the juicy acidity kicks in. Flavors of underripe berry and olive dominate the palate, with a slightly oaky finish.",12.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
4515,84,Veo 2013 Grande Cabernet Sauvignon (Colchagua Valley),Rubber aromas pervade on the nose. A grippy tannins dominate resin notes of wood and spice over a hint of fruit. A slightly herbaceous finish brings this wine home.,8.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,Veo
4516,84,Veramonte 2014 Sauvignon Blanc (Casablanca Valley),"Earth and matchstick define the nose of this easygoing wine. The palate is quiet, with low-intensity flavors of passion fruit and citrus that finish mildly pithy.",12.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Veramonte
4518,84,Viña San Vicente 2013 Geiser Tatio Reserve Sauvignon Blanc (Maule Valley),"Vanilla wafer, slightly mealy apple and citrus aromas open this slightly unfocused wine. The palate is flat, with flavors of green fruit and citrus that finish abruptly.",12.0,Sauvignon Blanc,,,Maule Valley,Chile,Viña San Vicente
4522,84,Santa Rita 2013 Reserva Sauvignon Blanc (Casablanca Valley),"Green fruit aromas, grassy notes and hint of sulfur define the bouquet on this herbaceous wine from a cool vintage. Bell pepper, pea and green bean flavors finish with a hint of tropical fruit.",13.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Santa Rita
4532,84,Santa Alicia 2014 Reserva Espiritu de Los Andes Estate Bottled Chardonnay (Maipo Valley),"This simple Chardonnay is tropical fruit driven, with a floral aroma and a twang of resiny oak. The palate seems slightly disjointed in feel, briny in flavor and citric on the finish.",12.0,Chardonnay,,,Maipo Valley,Chile,Santa Alicia
4620,86,Viña Requingua 2011 Toro de Piedra Grand Reserve Single Vineyard Syrah-Cabernet Sauvignon (Curicó Valley),"Blackberry, cola and herbal aromas form a stout, slightly green nose. This feels stocky and clipped, with oaky weight. Flavors of roasted berry fruits are herbal and oaky, while mint, vanilla, licorice and wood resin flavors drive the finish on this Cabernet-Syrah blend.",12.0,Syrah-Cabernet Sauvignon,,,Curicó Valley,Chile,Viña Requingua
4622,86,William Cole 2013 Albamar Sauvignon Blanc (Casablanca Valley),"Grassy, straw-like aromas offer bits of lime and orange. This is light, juicy and tangy. Flavors of lime, tart apple, grapefruit and kiwi finish with stony minerality and lasting lemon-lime notes.",11.0,Sauvignon Blanc,,,Casablanca Valley,Chile,William Cole
4627,86,Beach Kite 2012 Pinot Noir (Central Valley),"Fresh, minerally red-fruit aromas set up a light but good palate. Modest oak and red fruit flavors are earthy and a bit warm, while the finish is easy, clean and fresh. For $7, there's almost nothing to take issue with.",7.0,Pinot Noir,,,Central Valley,Chile,Beach Kite
4662,91,Casas del Toqui 2013 Terroir Selection Gran Reserva Syrah (Cachapoal Valley),"Bright cherry and berry aromas benefit from nicely integrated oak. This cool-vintage wine is slightly pulpy but not heavy on the palate. Plum and currant flavors end with notes of peppery spice, toasty char and lasting berry fruit. Drink through 2020.",21.0,Syrah,,,Cachapoal Valley,Chile,Casas del Toqui
4677,91,Kingston Family 2015 Cariblanco Sauvignon Blanc (Casablanca Valley),"One of Chile's go-to producers of Sauvignon Blanc has bottled a winner. This deals classic aromas of citrus, nettle and sea brine. The palate is slightly oily and creamy, but lively with acidity. Flavors of persimmon, melon and ocean brine finish slightly salty, with a fresh-meets-oily feel.",20.0,Sauvignon Blanc,,,Casablanca Valley,Chile,Kingston Family
4678,91,Koyle 2013 Royale Carmenère (Colchagua Valley),"Woodsy spicy black-fruit aromas include notes of balsam wood. This is deep and layered but not too heavy; flavors of chocolaty oak, peppercorn and blackberry finish with a rich helping of oak-based mocha and coffee. Drink through 2020.",26.0,Carmenère,,,Colchagua Valley,Chile,Koyle
4829,90,Indomita 2009 Zardoz Cabernet Sauvignon (Maipo Valley),"A nice follow-up to the excellent '08 Zardoz, this is earthy and roasted smelling, full of cola and berry notes on the nose. It feels round and smooth, with a mild tannic bite and baked flavors of blackberry, cassis and chocolate. It's layered feeling on the finish, with a bit of syrupy residue.",32.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Indomita
4843,89,Echeverria 2009 Founder's Selection Cabernet Sauvignon (Maipo Valley),"This is slightly exotic in terms of herb and spice aromas and a note of coconutty oak. It feels blocky and tannic, but forward, with flavors of baked berry, cinnamon and chocolate. The finish is creamy feeling, oaky and spicy. Drink now–2014.",40.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Echeverria
4844,89,El Huique 2009 Reserve Cabernet Sauvignon (Colchagua Valley),"Black cherry and violet aromas control what amounts to a compact, straightforward bouquet. It feels flush and ripe, with friendly tannins and a range of dark fruit flavors that lead to a warm finish with molasses-like richness. Very nice Cabernet to drink now through 2014.",18.0,Cabernet Sauvignon,,,Colchagua Valley,Chile,El Huique
4939,86,Meli 2010 Riesling (Central Valley),"A heavy dose of petrol is the aromatic greeting, and it comes with hints of rubber, latex and waxy white fruits. Feels tangy and fresh due to blazing acidity, while it tastes both of tropical fruits and diesel. Long and chiseled on the finish.",12.0,Riesling,,,Central Valley,Chile,Meli
4940,86,Morandé 2010 Reserva Pinot Noir (Casablanca Valley),"Pointy aromas of citrus, red berry and juniper are nice but a little sharp. The palate is similar; it's closed, snappy and juicy but fresh, with cherry tomato, herb and raspberry flavors. Long but basic tasting come finishing time.",13.0,Pinot Noir,,,Casablanca Valley,Chile,Morandé
4950,86,Caballo Bravo 2010 Reserva Privada Pinot Noir (Maule Valley),"Light aromas of tea, briary raspberry and field notes are mild as a whole. Feels juicy, lean and transparent, with agile dry-fruit flavors, cocoa and modest buttery oak. Light in weight and tasting on the tail end.",,Pinot Noir,,,Maule Valley,Chile,Caballo Bravo
4951,86,Calcu 2011 Reserva Rosé (Colchagua Valley),"Light pink to the eye, then fresh and vital on the nose, with a touch of stalkiness. Refreshing, lip-smacking acidity drives the palate, pushing tangy, basic citrus flavors.",13.0,Rosé,,,Colchagua Valley,Chile,Calcu
4973,88,Santa Alicia 2012 Gran Reserva de Los Andes Cabernet Sauvignon (Maipo Valley),"Red berry and herbal aromas are firm and focused on the nose. A snappy palate deals savory and fruity flavors of red berry, olive and mint. Firm tannins and driving acidity push the finish a bit further.",15.0,Cabernet Sauvignon,,,Maipo Valley,Chile,Santa Alicia
5042,87,Calcu 2016 Reserva Especial Rosé (Colchagua Valley),"Raspberry, bubble gum and rhubarb aromas get this pink-tinted rosé off to a solid start. Juicy and smooth on the palate, this tastes of citrus fruits, pineapple and red plum. Bright acidity ensures that this is lasting and fresh on the finish.",13.0,Rosé,,,Colchagua Valley,Chile,Calcu
5046,87,Concha y Toro 2015 Marques de Casa Concha Chardonnay (Limarí Valley),"On the nose, this Chardonnay smells mostly of oak, with apple and melon notes in the background. Salty oaky flavors mask the wine's fruit, which falls into the stone-fruit category. A barrel-dominated finish with nectarine notes is resiny and salty.",22.0,Chardonnay,,,Limarí Valley,Chile,Concha y Toro
5067,87,Santa Rita 2016 120 Reserva Especial Chardonnay (Central Valley),"No, this is not a misprint. This $6 Chardonnay is a quaffer's dream. Aromas of apple and pear are clean and pleasant. On the palate, this feels round and balanced. Slightly salty apple flavors are steady on the finish.",6.0,Chardonnay,,,Central Valley,Chile,Santa Rita
5117,87,Finca Patagonia 2014 Reserve Merlot (Maule Valley),"Gritty black-fruit aromas come with notes of bell pepper and green herbs as well as coffee grounds. A snappy, tough, drawing palate delivers peppery, blackened spice and herbal berry flavors prior to a crisp, tight finish with fresh acidity.",16.0,Merlot,,,Maule Valley,Chile,Finca Patagonia
5122,87,Odfjell 2012 Capítulo by Odfjell Carignan-Cabernet Sauvignon-Malbec Red (Central Valley),"Despite herbaceous aromas of eucalyptus and thyme, this choppy, grating blend of Carignan, Cabernet Sauvignon and Malbec offers forward bold plum and currant flavors along with can't-miss herbal notes. This is aggressive on the finish, with mild heat and raw tannins.",15.0,Red Blend,,,Central Valley,Chile,Odfjell
